user name,alert name,indicator name,indicator type,score,value,hourly / daily,start time,chartType,description,historgram last 30 days,pie last 30 days,time,dataSource,id
nheaseman6h,,Multiple File Delete Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,23
fdickond,,Abnormal File Access Event,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,24
llawforde,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,25
srubinskyf,,User account disabled,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,26
kheaffeyg,,Multiple File Access Permission Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,27
mdensellh,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,28
bpiscoi,,Logged into Multiple Domains,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,29
mgersonj,,Multiple User Account Management Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,30
pcushellyk,,Abnormal Active Directory Change Time,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,31
kgethousel,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,32
nbleasdillem,,User account unlocked,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,33
eerdesn,,Abnormal File Access Event,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,34
crapao,,Multiple Member Additions to Enterprise Critical Groups,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,35
troganp,,User account unlocked,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,36
fjedrysikq,,Abnormal Computer,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,37
dgonnetr,,User Account type changed,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,38
lwhittocks,,Abnormal File Access Time,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,39
amaginott,,Logged onto Multiple Computers,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,40
xgingellu,,Multiple File Delete Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,41
rscamadenv,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,42
bnaptonw,,Abnormal File Access Event,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,43
llavertyx,,Excessive Amount of Files Moved from File System,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,44
nmithamy,,Multiple Member Additions to Enterprise Critical Groups,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,45
dwadleyz,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,46
pmatashkin10,,User Account type changed,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,47
rmcnair11,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,48
wchingedehals12,,User account disabled,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,49
ceriksson13,,Abnormal Active Directory Change,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,50
lfortesquieu14,,User account enabled,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,51
eledes15,,Multiple Successful Authentications,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,52
jrigby16,,Excessive Amount of Files Moved to File System,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,53
acreber17,,User Password Never Expires option changed,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,54
cmorford18,,User account locked,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,55
clammin19,,Abnormal File Access Permission Change,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,56
sbraga1a,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,57
hkelwaybamber1b,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,58
hcymper1c,,User password changed by non-owner,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,59
calldritt1d,,User account enabled,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,60
lcaseborne1e,,User password changed,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,61
asydenham1f,,Multiple File Access Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,62
cchadderton1g,,Multiple Failed File Access Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,63
athrower1h,,Nested member added to critical enterprise group,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,64
cvanderweedenburg1i,,Multiple Failed File Access Permission Changes,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,65
hwinterton1j,,User Account type changed,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,66
rswynley1k,,User Account type changed,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,67
dsiggers1l,,Multiple User Account Management Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,68
dbrognot1m,,Admin changed his own password,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,69
cwharlton1n,,Multiple File Access Permission Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,70
kallam1o,,Multiple File Open Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,71
cuzelli1p,,User account enabled,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,72
wspurier1q,,Multiple File Open Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,73
uromei1r,,User account disabled,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,74
cwoodlands1s,,Multiple Failed Authentications,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,75
tkaemena1t,,Multiple Member Additions to Enterprise Critical Groups,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,76
aguyver1u,,Abnormal Computer,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,77
vtallach1v,,Logged onto Multiple Computers,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,78
mnewbegin1w,,Multiple File Access Permission Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,79
lcorrao1x,,Abnormal Computer,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,80
mmclanaghan1y,,Logged into Multiple Domains,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,81
gtommasuzzi1z,,Abnormal File Access Time,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,82
mhince20,,Multiple Failed File Access Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,83
obretelle21,,Abnormal Computer,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,84
ewagg22,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,85
kphillot23,,Multiple Failed File Access Permission Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,86
ddrews24,,Multiple Group Membership Changes,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,87
evirgo25,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,88
rricoald26,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,89
opetroff27,,User password changed by non-owner,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,90
jcavil3a,,Multiple Folder Open Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,91
agobbett3b,,Multiple File Access Events,AnomalyAggregatedEvent,70,3,Hourly,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,92
ymacillrick3c,,Abnormal Active Directory Change Time,AnomalyAggregatedEvent,70,3,Daily,Oct 28 2017 06:00:00 GMT+0000,Histogram,A user had been added to multiple privileged groups,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","last 30 days: 0,…,0",,active_directory,93
