date,time_detected,user_sid,user,origin_ipv4,origin_ipv6,description,server_dn,computer,os_version,domain,event,action,subsystem,result,indicator_ids,Old value,new value
2017-07-15T20:36:03Z,05:26:53,1048c15afa017d3c799aa907b7f855e18b4cbf3c,tshoesmith17,168.197.70.178,812:4a1b:7e70:48b:e4ce:5547:fc9e:92ad,,,Stim,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2017-09-02T12:22:57Z,00:22:46,e87ccfc3266e6918d2e7a863bb1654b3217ef862,dattwoul18,79.212.9.18,f60f:a539:95da:f0ef:b818:efd7:992b:f433,,,Voltsillam,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2017-07-18T05:06:26Z,10:29:35,dac8434e76f27fb4de367fdbf32772d0a4fd7208,ilghan19,194.48.120.2,46e3:632f:22ef:406d:bb8:6b6c:be19:194e,,,Cookley,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2016-14-10T06:26:13Z,18:24:06,476507c614d6d44f60dbb034f54a2da45fd7df77,jshackle1a,130.228.71.44,3cce:72ed:18ed:da87:6947:8479:1bc5:487d,,,Keylex,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-08-17T16:34:38Z,22:06:43,4727bbbbe7f68f7e9bc172c31786c43537e4a96d,tcloss1b,155.106.117.185,e4fc:8bee:f81b:27e0:6f17:efbd:d9f1:e7be,,,Stronghold,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2016-02-26T18:22:21Z,16:09:15,fc8fe1b42b407fd339c79bebdc614b8f9d313677,egodridge1c,237.244.251.44,c09a:f85b:ce3d:174e:1f0e:eb97:d2c1:b303,,,Bitwolf,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-11-18T15:35:43Z,19:56:11,72b9e2d54fd4279f849c1c76e9391390e2ce1a3a,sstarie1d,147.20.218.227,23a5:9ff0:a408:7125:2283:a3d3:d86f:b31d,,,Tresom,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,11,13
2017-09-07T12:31:10Z,00:50:44,8644452a6dd0a82b8a18377472df8ba46e1a456c,gbresnen1e,132.248.63.182,4952:a0f6:8ffa:ca2b:c9ae:7c76:98:1fc9,,,Holdlamis,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2016-02-28T15:45:00Z,09:05:03,96ba95de2ba61d258a682e9f11298a572d03a329,gcullon1f,147.32.66.10,8659:cfc3:b3c9:4840:abaa:21c0:876c:a091,,,Treeflex,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-14-20T18:37:09Z,00:24:57,02069bdee1e39b4899564d44669237d38b377539,dhobbing1g,216.198.113.46,ea67:2414:9353:4e08:47fa:5df5:1eff:ed05,,,Alpha,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2016-02-28T03:33:57Z,08:17:54,e6084871512bd0f8b2b3c193458193328012061c,amanna1h,76.117.216.250,699e:b8b3:1c62:1926:c5dc:95ce:8823:1c69,,,Quo Lux,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-11-06T00:04:23Z,19:28:30,08173aec398775f60c4ec6c8038b83352b787409,dshardlow1i,245.126.203.221,5058:f3d7:d0cc:485a:f98d:76af:cd50:6ba1,,,Tres-Zap,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,11,13
2017-08-09T16:29:10Z,05:55:44,21d5ae14c960a628c2fff68a6c80daca7564baca,wdundridge1j,0.14.1.26,e88c:53a9:576:c1dd:c8cb:9281:8ce2:130b,,,Home Ing,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2017-11-04T11:44:59Z,07:39:18,b851fe6e09a718f716de4e6c36713db5d3d23fa1,lsaintepaul1k,130.200.170.128,d4a2:b242:2f30:a7ce:a73a:6646:2b5a:822d,,,Domainer,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-08-04T02:53:23Z,13:15:17,c52d21f53231df3bdd803a29089f86ea2d69d449,avescovo1l,195.192.27.62,de5a:4728:847c:57c5:38a8:3210:4a91:c0cf,,,Latlux,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2016-11-27T02:55:55Z,13:45:05,29a0b84a9e671e8930364d535e363cb216f00e6c,ptrawin1m,2.244.226.248,e306:569:676a:31bc:e130:f776:d766:668f,,,Alphazap,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,11,13
2017-11-14T14:48:34Z,12:25:35,7a359060af5e75256666f6c7354d165b55b64e53,btorbet1n,87.228.144.190,c8bf:973:de6c:350c:af63:6233:772e:80d7,,,Zontrax,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-10-16T16:34:48Z,02:16:35,e8ea20c16e2fc2a0bf749ca21eecbb210b1498c3,dsagar1o,23.234.129.196,f421:4b3:9ab8:b29f:8349:391a:b337:d4e2,,,Kanlam,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2016-14-11T19:49:10Z,06:45:08,ce0a72567fcddcc483b42595802340bda85f809b,oproudlock1p,197.125.54.191,ccc7:79fa:f962:cda0:ff12:ee69:c97f:b244,,,Veribet,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2016-13-23T05:19:13Z,21:42:05,1f7742ffc7449c8a07be59d68c50bb54de313e86,gmackomb1q,182.127.131.222,df89:e738:87bc:4b00:ee1b:f1d8:7958:6d17,,,Matsoft,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,13,15
2016-14-30T22:55:14Z,05:17:00,ac9f35446487dccde5ebebac6a88f49e5be5b45f,rwyllis1r,57.106.50.121,66cd:ba9a:7a5c:9fe2:9616:fdfe:e6fd:46d4,,,Andalax,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-10-16T18:24:08Z,22:15:53,e2ade62b84761d4148ef54f41c2ddd42e4a96c1d,vharrell1s,20.38.50.187,90ba:41a6:e87f:f77c:3fac:693b:327a:ad07,,,Toughjoyfax,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2016-10-08T17:42:36Z,14:17:12,d9928383e5911e318ad70cc23fa4384e580c9716,bjaves1t,115.33.169.89,f073:f31e:e568:15a8:c46d:bfae:8c28:7684,,,Fixflex,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2017-06-16T23:29:41Z,22:12:04,48d4907ffbe15409c83cc47de0391035d78da657,rhumberstone1u,86.66.139.92,78a:2ac1:626d:be04:b429:1b78:2632:a2ec,,,Regrant,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,4,6
2017-09-21T08:54:38Z,12:03:30,7fcd256b56c70f0169094b408425a89b5348c13c,ykuhn1v,38.94.233.214,54f9:fdfc:3754:d9c3:19d3:9e7d:ae17:3c85,,,Temp,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2017-11-17T04:36:07Z,02:09:41,1d976d54c0f626751c4422557c3a55805ac88842,bhaug1w,239.31.50.48,d478:4802:64d1:aec0:b443:2a8:53c7:52f3,,,Home Ing,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-09-19T00:20:10Z,00:31:18,d62f1fa1812475b9643f3d2c78fc1c5bac984a04,jbruinemann1x,78.172.182.135,c7c1:69e7:377d:4bc3:c804:7c5f:2ffc:4f35,,,Lotlux,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2016-14-05T21:50:51Z,11:59:53,25085a732b1714467308dafb81f795d17f6bf0cf,gashton1y,234.31.239.139,91d5:1613:f93a:8259:f72f:cb74:a890:3391,,,Sonair,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2016-11-27T03:12:55Z,08:50:46,5d68b8a29b751b99fd2108a5834eb7d114eaf64a,gwollaston1z,177.86.2.8,565c:8145:b677:cee4:1568:16be:43f:d059,,,Tin,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,11,13
2017-09-13T15:34:46Z,13:24:25,f85fc06f47c40a2e9f8a356b4acdc9ac580822cb,hlyst20,141.112.2.102,46d4:663c:fcec:3811:e4c3:4aed:63b4:a36e,,,Stringtough,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2017-05-21T04:45:46Z,21:11:51,b7c03b65899bdf5e63a491ab0886e52126a6d387,jstarmont21,244.242.169.32,3ba0:8739:1f9f:8dc3:bddc:b41a:a8ea:2b78,,,Zaam-Dox,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2017-05-07T12:42:27Z,15:48:36,ae72c03434a71bc07d3d785df2679f8524ff802b,kbalchin22,110.98.213.14,3e22:125d:baf:1ff5:c791:600b:6eb5:e72c,,,Opela,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2016-02-21T01:28:21Z,02:53:26,db25323302b55a845beb3609d2705f6af5a16b53,mchild23,30.51.38.145,f5cb:e8bc:5182:e8af:6d2e:8774:da40:5924,,,Tampflex,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2016-10-31T21:02:38Z,09:26:28,e3f0e770b504a012cfa4ac6e204d00de35dbe6d6,jrue24,220.134.201.27,1078:df4e:8a85:d56f:8703:7051:9f99:11b,,,Pannier,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2017-10-11T09:05:29Z,05:20:12,1f64d2e4350572788c2e8e28b17b1f8876846e09,kjinda25,225.7.126.208,8676:f0ec:ba3a:b626:cd47:ba99:7d65:773d,,,Tresom,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2017-11-06T13:38:48Z,13:40:54,0817b1016627b674ef87c9dffd974214637b61e1,slelande26,109.141.108.142,4033:c067:e166:f577:9659:b1a5:25fa:8dae,,,Lotstring,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2016-14-18T18:32:17Z,03:45:40,3baa8435d1d30fc69e383e8068551bd49f67403c,kbembridge27,181.23.205.7,4ce6:9c73:37bc:e36b:d7de:cf71:ad61:7d26,,,Redhold,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-09-14T04:36:23Z,15:14:52,6bd6ca6a543a164a4e68bdefd3a0bc627032f098,ukinkaid28,100.236.61.148,9e1b:78ce:3012:55dd:6866:735c:e12b:c578,,,Sonair,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,7,9
2017-10-15T20:09:17Z,13:47:42,5f9079d817be86b9d2b3d6797ec4956500d67a89,rpotapczuk29,90.133.61.187,c3eb:8c04:7502:741:93ee:6bd1:9ffc:5427,,,Sonsing,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2017-10-16T01:32:46Z,02:13:26,91c04440a18a801352087e89284ee143d7fbe7a0,dloudiane2a,74.222.107.86,8303:a4e0:628c:84d2:fe22:df62:61fa:158b,,,Voltsillam,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,8,10
2017-05-13T14:53:33Z,01:22:35,b3641e01d1304c7289117d015c28be9c8bb50bee,roxshott2b,128.193.8.63,34be:4e0d:36b1:2294:d79:b677:6216:81cc,,,Greenlam,Windows 7,Acme,User failed to authenticate through Kerberos,,,, ,3,5
2016-09-23T08:18:49Z,10:43:24,fcf6d82844608dd6264c40facf55aad21f9e6283,fivashnikov2c,249.237.204.60,e2b3:c502:87e1:34b4:fe46:9c81:9e31:56d1,,,Zontrax,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2016-10-08T03:35:45Z,12:57:16,cc57802b354ff7ea7e40745be664371b0fe19987,dsimony2d,214.51.141.79,7be:f328:8dcf:c57:9877:b5e5:cbae:c973,,,Regrant,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,10,12
2016-14-28T20:12:49Z,23:13:27,f09201ca19b401a53eb85bede6765c69fe172e0f,cettels2e,64.124.96.235,e4ce:9421:87b3:dd99:855d:5fbe:ba08:af43,,,Tempsoft,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-06-09T14:05:58Z,20:43:35,1f83f5e893ababad37e9584892c852f7a3f26191,ocheer2f,29.56.49.157,d746:dfa7:f074:d44a:8920:9095:8e1a:b929,,,Bytecard,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,4,6
2016-14-13T22:12:52Z,21:21:00,0373d955470340b939ab376e82cbd7d8a9ab78e0,dhearfield2g,99.158.215.79,7611:a455:354c:3a55:ba08:dad0:f484:c0b0,,,Tres-Zap,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-07-02T06:36:47Z,11:54:33,8a7cbffd59b4083f85412dc232496e1903ca655e,pbiggerdike2h,141.104.153.212,991:c498:6043:e604:3d8b:3e2f:d30d:75ba,,,Y-Solowarm,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2017-06-06T01:35:51Z,12:40:07,d573193b099c7aa8561d996478aee8ec0d0b53d7,bbluschke2i,95.237.182.172,5a1f:e1c1:7fbe:46f8:6c2c:6400:e7d5:e938,,,Kanlam,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,4,6
2017-11-06T12:55:32Z,04:52:26,83deebb8eb8b08044c2fd5be600da68ce41959a4,dmullaly2j,9.87.200.207,5ede:2714:5ead:aa49:691e:dbeb:6997:15a0,,,Daltfresh,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,9,11
2017-08-26T03:57:52Z,14:28:28,2a76476b49cd3f82449857ce9ca70307d6ee3073,ptampion2k,239.205.8.192,8bfb:ea85:75a2:a427:c13e:16c3:3db:49c5,,,Veribet,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,6,8
2016-13-30T17:50:00Z,01:40:15,472208d2a13bf519dd687b8b3cec4043b318cee7,gmulcaster2l,63.132.212.3,4b95:e3b5:75b2:7e21:5a51:5244:605f:8d26,,,Cardguard,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,13,15
2016-02-18T12:46:02Z,18:20:46,939c7080a4cc57a436f7e3e1cd213fa4c54a8a7d,ssilliman2m,189.171.10.143,f8ea:c561:635b:1718:109f:c0ee:8ea8:a35e,,,Lotlux,Windows 8,Acme,User failed to authenticate through Kerberos,,,, ,12,14
2017-07-06T07:13:40Z,00:38:38,eae03526b466ec299490ae76d64015f3cae4170b,adunridge2n,42.22.15.254,f652:32c0:6e81:6bcd:e5de:c14c:2ab2:b869,,,Voltsillam,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2016-14-08T21:59:23Z,19:49:03,d97abcedb2c7ddc8823defc672ea1f035389e384,hebbers2o,179.176.115.185,e3ee:dc29:f135:2958:80a3:48dd:8727:486,,,Flowdesk,Windows Server 2012,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-07-19T23:14:07Z,23:38:26,5e16830e7811e9521a565f3ecc24caf204fc6852,aalenikov2p,196.217.33.120,87bb:d8e2:44cb:e07a:135c:ed97:11be:af6a,,,Tempsoft,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2016-14-25T06:38:23Z,08:46:22,2b5982c86c050f17a1a469f008b8f44a423e4200,kaleshkov2q,139.13.229.100,5cbf:969a:2ea2:99f5:89b1:3d79:c211:4867,,,Konklab,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,14,16
2017-07-06T12:52:23Z,20:11:21,007ebffdb60448caa61d785c8e756619dcc37c4b,edoge2r,81.155.130.80,ea80:56b6:4387:1814:3e21:46e0:3233:eb2a,,,Ronstring,Windows Server 2008,Acme,User failed to authenticate through Kerberos,,,, ,5,7
2016-10-17T17:10:46Z,21:32:34,b88ce5f3c5a25d3c5bf05142e7dc8201580ee905,ehares2s,177.32.131.68,c381:276:4896:6d42:ca:ce7c:2170:84bc,,,Y-find,Windows 10,Acme,User failed to authenticate through Kerberos,,,, ,10,12
