date,time_detected,user_sid,user,origin_ipv4,origin_ipv6,description,server_dn,computer,os_version,domain,event,action,subsystem,result,indicator_ids
2017-10-18T09:33:37Z,11:30:55,eb486532caa91bf2da81f791561f1e903332b885,hcamousc,136.226.76.157,acc:221a:1db:7d5b:e7b3:e12:90eb:a5f6,,,Tresom,Windows Server 2012,Aerified,Logon Script changed on user object,,,, 
2016-10-16T18:50:30Z,20:11:45,49aaf033a65200f8b79a1dbe238f56b1c9917646,pdilowayd,160.185.121.111,85f7:4ab1:7951:7c37:2d24:db57:d664:71f1,,,Hatity,Windows Server 2012,Overhold,NETLOGON SiteCoverage parameter changed,,,, 
2016-11-16T10:39:48Z,00:03:55,b9fda9ed0d3a8f2ecf51527065803dcc23cd6fb7,vklauere,95.205.167.119,8e6:f368:79b7:7164:aec:41cf:82e2:816,,,Rank,Windows 8,Asoka,User samAccountName changed,,,, 
2016-11-14T11:18:16Z,20:00:43,f4448e1885bac497e5c9db81d2fbf49529911e15,jmembryf,252.82.235.134,ce1a:35c0:804f:3009:2ed8:3e79:fecb:8519,,,Treeflex,Windows Server 2012,Zathin,User Must Change Password At Next Logon option changed,,,, 
2017-06-06T05:46:18Z,20:18:18,50c577c0318b37cf9efeb397bdf8bd30c67256d2,tbhatiag,94.169.205.32,3fd8:19c5:99b0:84ec:23fd:5a47:ac61:8924,,,Alpha,Windows 10,Asoka,Require User's Permission changed for user object,,,, 
2017-09-09T19:25:07Z,13:16:48,aeba5aef5c482b02cde4b64ae35ff7c160977b48,vmcalindenh,187.228.49.96,d41:3493:8d:23f4:52c3:8fd:5215:b0f3,,,Home Ing,Windows Server 2012,Veribet,Member added to critical enterprise group,,,, 
2016-10-03T23:49:15Z,11:05:02,2748d4c9af89a61891fc472a1891d0b854297db3,rsindeni,162.64.179.147,f7ce:c0d5:ebea:a3ef:844f:fae8:576e:37bb,,,Temp,Windows Server 2008,Fix San,User password changed,,,, 
2016-10-12T11:10:39Z,01:22:07,e82e98ab79777de666ed40baea45f739d2ca4826,cswettenhamj,159.4.55.29,b0e4:ff0e:8b64:bcb8:9b11:13e6:3088:46c6,,,Quo Lux,Windows 7,Overhold,Owner changed on user object,,,, 
2017-07-12T15:59:42Z,07:41:44,50acac04a5900858bf291e85ae5d336795a95e36,lcastagnek,253.35.59.188,7435:ba74:ebd6:87b7:24c5:4167:913e:e972,,,Aerified,Windows 7,Zathin,Domain controller added to OU,,,, 
2017-07-15T03:08:21Z,03:53:16,d579652e4f6cea55cf2e2673dd991dc414bb75ff,cmcindrewl,212.150.135.144,acb5:4042:8807:5370:68c:3110:3bc9:a0c1,,,Duobam,Windows Server 2012,Sub-Ex,Nested member added to group,,,, 
2017-05-29T20:57:48Z,21:17:35,5f5998a361b8b4e5fd5752ba1d5ffebe300b60e0,rmacgowanm,152.123.185.1,95b4:5a3d:890f:e197:e929:dd7b:5b03:b0f9,,,Trippledex,Windows Server 2008,Subin,Schema attribute indexing flag changed,,,, 
2017-07-27T07:07:13Z,17:45:53,f2d9a3cd27b2c6d11d3ef66896f66762a386aa49,cnossentn,27.195.159.27,c934:4d19:58dc:dc34:28c1:4fc4:89ab:bb12,,,Kanlam,Windows 10,Alphazap,Member added to group,,,, 
2017-07-10T14:36:50Z,21:55:52,dfe5c58a7913b80def928cf1bf270b669eece83a,tgappero,156.184.227.59,3011:863f:bfee:5422:fd90:4910:1785:3f3,,,Ventosanzap,Windows Server 2008,Asoka,Subordinate OU renamed,,,, 
2017-10-20T14:11:45Z,14:25:28,39df795232756dade4bde59e6fbb19715b54f676,rgraysmarkp,197.35.202.85,7344:8cc2:c2e2:80a2:5a4e:858a:5c4a:ee82,,,Ronstring,Windows 8,Quo Lux,User accountExpires changed,,,, 
2016-14-13T08:36:02Z,16:29:39,4c6219dc76307a0bff7c05fcbbdf7cd35ee16a89,mdillwayq,191.233.186.202,fc81:d63b:41e6:4a13:3655:384e:9fa4:4af7,,,Mat Lam Tam,Windows 8,Tin,Computer account enabled,,,, 
2017-05-28T08:46:10Z,00:01:47,85c116b510743b4dcc27ece29b6f37d28fa8642e,vmcmanusr,194.83.166.57,13bb:2516:3dc4:3654:84bf:f9a3:e8c7:2260,,,Stronghold,Windows Server 2008,Sub-Ex,NETLOGON CloseSiteTimeout parameter changed,,,, 
2017-06-17T07:20:05Z,09:07:36,725751cad21eab3c5cc651075381f70ac7a7870f,pfrosdicks,32.160.190.3,9bb4:c81d:ca75:f0b4:83b6:26b8:1c79:ced6,,,Kanlam,Windows 8,Viva,Schema class added,,,, 
2016-12-11T14:34:34Z,00:08:25,e8df685c29b1ed229e647850cd985f47af431fef,lcomleyt,100.223.139.116,35cd:d420:f32b:c308:5475:b4a5:88be:b73c,,,Fintone,Windows 10,Treeflex,NETLOGON AutoSiteCoverage flag changed,,,, 
2016-12-26T18:02:39Z,21:16:03,b4a6f3156c9c7b148ea6538f617c878527c80600,jriegeru,84.162.99.35,f502:1625:4977:ab82:801b:d7c2:8e23:d6de,,,Tempsoft,Windows 7,Ronstring,User Do Not Require Kerberos Preauthentication option changed,,,, 
2016-13-11T11:22:14Z,00:21:44,46503b5c5a4d7a47a654a9212af639d3b00b3509,lswindenv,108.70.30.60,a7a0:37c7:f1bc:721f:4a43:864b:9c3a:f547,,,Daltfresh,Windows 10,Andalax,Schema attribute defaultHidingValue changed,,,, 
2016-09-29T21:07:19Z,15:16:50,b266c876356c4770e791123c1a62b365af7042ee,fudenw,228.214.45.162,ecbf:cf14:2fb8:bf58:c47d:3444:b3a3:bd6a,,,Konklab,Windows 8,Sonsing,DACL changed on computer object,,,, 
2016-12-04T10:23:22Z,04:26:18,93ee88ec17e9f2f15fec6513249cddc9d76a0356,cparrettx,80.239.135.208,de9f:1dff:6f48:b321:c07:6042:f3e9:8279,,,Sonair,Windows 7,Opela,User account unlocked,,,, 
2017-11-01T20:03:37Z,19:17:19,7407541cdc56b2ffdffb3703e3411a6cc296d1d7,mrundley,208.176.70.202,34e7:44a8:e7f9:158a:3bd0:e138:37a5:a21d,,,Zamit,Windows Server 2012,Home Ing,Class removed from auxiliary classes in schema,,,, 
2016-10-28T17:31:43Z,14:01:33,f2966ca0f6904a71883e4c93c6551c30ef7099b3,llibreyz,63.15.175.255,81d1:9467:1591:987:11d4:7fc5:a136:1841,,,Prodder,Windows 10,Span,DACL changed on domain object,,,, 
2017-10-30T22:09:41Z,05:41:13,f5cddd159b3954b18680d465dbaa5387c9505576,sogormally10,9.111.6.109,7446:76c6:314a:9e2e:66f1:e0d8:3733:8f08,,,Gembucket,Windows 10,Tempsoft,Read-Only Domain controller removed from domain,,,, 
2016-13-09T20:45:29Z,13:04:16,d848c7eb64feb3798de2c787ebf59a5eff23cb99,nforrest11,142.230.110.87,64fb:924e:74d6:d1e0:29f4:c295:f49:7d56,,,Alphazap,Windows Server 2008,Opela,Active Session Limit changed for user object,,,, 
2017-07-29T02:04:28Z,23:16:07,da9bf50fa2681c46ded95204597b729eb9d74681,gdufore12,213.124.67.157,9977:7ab3:6d0b:cfb6:ea23:1f31:a19b:51a8,,,Mat Lam Tam,Windows 10,Stim,Attribute added to optional attributes,,,, 
2016-10-01T07:42:16Z,14:23:29,db4802288987d19f292efd6a41cdb3bb6d92b089,aterram13,65.33.23.162,d2b7:4ab4:9274:ed4e:94e1:eb34:5d4b:d72f,,,Regrant,Windows 7,Gembucket,Attribute added to optional attributes,,,, 
2017-06-23T03:08:27Z,00:26:32,0647e43b12a9f6eaab0e3af65c269d21ac5a880b,tprawle14,87.182.85.207,a3a1:6a82:dbc9:b9c3:ffd6:c65a:4408:45a6,,,Prodder,Windows Server 2012,Stim,Computer renamed,,,, 
2017-09-04T14:14:10Z,19:16:13,c64f95589d933588259591b89a743f96a5c1a158,chaws15,147.251.116.61,8bee:a46e:ac8d:d033:edf5:8f82:55fd:5a68,,,Bitchip,Windows 8,Subin,Subordinate OU removed,,,, 
2017-08-16T07:58:39Z,20:14:17,d5f66c5b124d7a7f646cb7168a11fbf451d8a086,rhandforth16,88.125.37.36,c257:7f7d:fc38:451c:7d96:57d3:5b02:2c8d,,,Stringtough,Windows Server 2008,Tresom,NETLOGON GcSiteCoverage parameter changed,,,, 
2017-07-13T16:26:45Z,15:26:31,54502754d33bb6ec671b29ff1f6e54bdc95da1b9,rcarverhill17,84.247.194.168,1133:9ac9:23a8:338f:5934:bba:881b:b9e7,,,Voltsillam,Windows Server 2008,Regrant,Computer renamed,,,, 
2017-11-08T18:18:59Z,01:22:03,853acecbc960b9b28b19f0b0abc4a25ec49e3e6f,ekochs18,89.253.32.26,2893:8312:3083:c118:e074:c730:67ba:b9f2,,,Latlux,Windows Server 2008,Tresom,Read-Only Domain controller added to domain,,,, 
2017-06-15T19:34:01Z,00:10:26,34c61ba40df7bec3e354d64bd13748b89808bb08,ctampion19,203.196.161.243,6e5d:ec38:9b86:57bf:47c6:9806:bd1c:a51f,,,Alpha,Windows 8,Andalax,User account locked,,,, 
2016-12-04T16:52:32Z,10:06:03,7780aecd8fff0c460f5f719b7e992abdbe8d479d,schampkin1a,148.119.130.132,ef75:6975:fb13:3736:e1d5:836e:d659:23d2,,,Viva,Windows Server 2008,Treeflex,User Account type changed,,,, 
2016-13-15T15:56:36Z,05:33:17,85b6bf645c60605e0894210fe27492227342334d,dlorkin1b,149.135.244.244,2d7c:27ba:771f:d309:74de:f3fc:bd1b:b78,,,Redhold,Windows Server 2008,Aerified,Computer renamed,,,, 
2017-11-17T17:16:00Z,19:33:33,a7234d3adef992897a35f0e87a9498ae94afc336,ffairbrother1c,176.26.219.36,456d:1ff:b409:71c:9e7e:60ba:7978:bfd7,,,Quo Lux,Windows 7,Bitchip,End a Disconnected Session changed for user object,,,, 
2016-10-23T09:34:25Z,21:36:25,fa9e625522596c27d3ef54b01bc63921b835b626,cstanlake1d,114.249.219.41,c5ec:f374:e9f:10f2:6885:86b4:a221:5c58,,,Vagram,Windows 10,Job,NETLOGON LdapSrvPriority parameter changed,,,, 
2017-10-27T08:24:40Z,04:12:38,512c0250ad1b5325c75999cef3fd93a0e313d237,fbeddard1e,255.95.142.177,fc89:dc3d:11dd:77d5:2132:229b:c7fa:f79b,,,Bamity,Windows Server 2012,Fixflex,User account unlocked,,,, 
2017-10-09T09:50:31Z,20:51:45,01971a9c0906fb28f57330e95b8a0cba64792088,sharriott1f,88.240.224.110,9f0f:f195:71de:1d01:db2c:965e:f001:9bf1,,,Opela,Windows 7,Cardguard,Group renamed,,,, 
2016-13-05T15:10:30Z,03:21:28,5e7495fed5e066bd1000e356bff495d748a29558,cfahey1g,3.118.108.159,f30b:68cc:6a12:70dd:d3fb:5973:527:fed3,,,Solarbreeze,Windows 8,Overhold,User Password Never Expires option changed,,,, 
2016-14-05T19:21:38Z,00:18:56,d9335b8757af6bc1cc3e732e5c74a895467c0ebb,jlarmor1h,19.74.75.16,271a:f445:959e:17:4f24:2fd4:b381:9738,,,Subin,Windows 7,Tin,User accountExpires changed,,,, 
2016-09-30T14:50:36Z,09:56:16,e8b98406416c88964607d0161f184de49cd77e49,rpenchen1i,145.82.220.57,e233:c94c:a635:71d8:f2eb:d5da:cc12:a40c,,,Pannier,Windows 7,Fixflex,Guest account enabled,,,, 
2017-07-14T09:34:25Z,07:04:47,f147f92c54d91bbcd74b5c9c4d304b46bb883805,dcracie1j,214.100.250.194,efa2:60b0:ea52:86f6:7138:46da:ffe5:47ee,,,Fintone,Windows 10,Y-find,User password changed by non-owner,,,, 
2017-06-03T07:05:11Z,19:29:00,9cdd2e92b09c67b913fbcc684d7af8253bd3deb4,fpeyton1k,98.248.78.84,d2ec:cf16:e770:16a4:6dfe:d42a:1ef3:91ec,,,Zaam-Dox,Windows 7,Voltsillam,Group object moved,,,, 
2016-10-02T19:52:47Z,16:01:34,da52b4e30f8d87f6066016290c9a3489a34b9ca5,fmoreinis1l,187.109.169.242,74b6:759c:65a4:f905:d121:23dc:c8fd:cf65,,,Vagram,Windows 7,Rank,SYSVOL folder access rights changed,,,, 
2016-13-11T00:25:53Z,01:50:13,b0fbbcf60aabcde897b4cd4c673560747febf742,szima1m,64.35.117.88,8a4b:c700:df43:937f:7f23:3693:cd1d:2027,,,Bigtax,Windows 10,Sonsing,Nested member removed from critical enterprise group,,,, 
2017-07-01T07:35:19Z,11:52:44,300363eabe826fc9dc33f6ecb1e257047d5eda19,celger1n,175.215.153.118,9819:c7ae:52d2:57e6:aa78:b5a7:3ce5:d3ca,,,Gembucket,Windows Server 2008,Voltsillam,Domain controller added to OU,,,, 
2017-06-28T15:14:22Z,22:21:56,b785af94e03eee881fdcedb571eb4edc728548d1,spowles1o,168.251.58.51,1893:fdf0:c5b7:9393:5139:bdb3:8d76:ea74,,,Subin,Windows 7,Fix San,Member removed from group,,,, 
2017-07-01T21:42:21Z,14:33:35,ce569b94a8e690e9a4bb42dadc7777aab7e7c3a6,utordoff1p,163.1.230.151,5745:59aa:f3f8:f11b:20b4:aec0:2eec:fc92,,,Job,Windows 8,Latlux,NETLOGON LdapSrvPriority parameter changed,,,, 
2017-09-14T20:01:12Z,15:33:30,09c7e9aca93391355cfa72a3bfd0212750cc50aa,qreadshall1q,238.73.84.89,75ad:4bea:bfa2:346d:b4b5:b5ff:433c:d23e,,,Andalax,Windows 10,Subin,DACL changed on OU object,,,, 
2016-10-31T17:23:28Z,11:18:06,9917a5c1da70362c983f4bd6e0b7229a3316bb54,fvangiffen1r,218.72.74.33,d746:47d4:97ed:21a:3142:79c2:99ce:f9a2,,,Toughjoyfax,Windows Server 2008,Transcof,Group samAccountName changed,,,, 
2016-12-09T06:50:36Z,20:11:33,5100163d1895997bfd47dd48fad70b9839735f2f,lbohlingolsen1s,185.173.157.9,895:fc34:1fb5:3854:7a55:d691:b741:8fd2,,,Y-Solowarm,Windows Server 2008,Prodder,User object moved,,,, 
2017-05-02T17:33:38Z,18:10:07,0cb1c82c7b320e6f08dba873c444eb320e58d200,lbangs1t,171.99.211.66,23f1:5716:777a:16f6:7bf5:d396:79c6:ba0d,,,Daltfresh,Windows 8,Bitchip,Schema attribute RODC Filtered flag changed,,,, 
2016-10-03T10:25:38Z,08:28:33,8228f7ea97486e5a5e96db6a7cb82805488c3035,rfriedlos1u,162.22.160.5,243b:e826:d732:9e70:ed5e:8254:8a2c:38f7,,,Regrant,Windows 7,Wrapsafe,Owner changed on user object,,,, 
2017-09-29T04:45:18Z,11:05:22,0837218ce501afd0d2e423b5568052e6983fa041,dskirlin1v,42.146.228.121,338c:fe45:af0:f69e:e9ad:4990:ba76:8bc4,,,Prodder,Windows 8,Rank,User Store Password Using Reversible Encryption option changed,,,, 
2016-09-19T10:26:35Z,09:20:43,08be129804e9952f2fb93014633b9886719af3ee,hfellgate1w,22.209.64.163,fd70:6674:81c0:c2f4:cce6:7fac:947e:ee9b,,,Zamit,Windows 7,Temp,User account locked,,,, 
2016-13-23T04:27:03Z,01:07:12,2d66dae4a1e1ba215e917d9cfd82d86d1c675bf6,ddellow1x,237.244.35.97,7bf5:4a9b:cefe:edad:29ed:1f9b:d8db:7890,,,Bitwolf,Windows 10,Temp,Schema class default security descriptor changed,,,, 
2016-12-27T06:10:44Z,03:32:57,0aecffe699562d8c0fef171dab62340578fea778,jcurrm1y,163.132.176.161,67d5:1b5d:7fff:f720:a739:a619:b4ea:dc60,,,Namfix,Windows 8,Keylex,Attribute removed from optional attributes,,,, 
2017-06-24T08:02:17Z,01:49:42,00030744ddf101ab3acf3b41f58c6ccb643f3eb2,fbennington1z,47.11.166.225,5feb:162d:e8dc:4a38:407e:8384:523d:9bce,,,Regrant,Windows 10,Y-find,User account enabled,,,, 
2016-13-29T22:30:29Z,19:52:32,78a06ab9b75f372c27f9a4f5bb5818b80dee375e,mmcgee20,124.203.81.44,e862:1c15:ba47:c935:494f:e35d:de38:7fa7,,,Cardify,Windows Server 2008,Tampflex,Schema attribute indexing flag changed,,,, 
2016-12-12T18:12:23Z,01:45:01,bbb73349003ae263176f5e2ff0b84f873ede5b61,mbatter21,28.167.13.54,f9a6:c1cb:8a96:8ba2:eb0f:8e71:c07f:3708,,,Y-Solowarm,Windows 10,Overhold,Nested member added to critical enterprise group,,,, 
2016-10-18T22:58:14Z,23:49:17,c8232ccc50e61dabd4055d5372369ec5b296382f,mcornner22,110.82.236.104,2156:ae90:b490:66ce:87d9:8c34:6c6b:2ca5,,,Cardify,Windows 10,Lotstring,Subordinate OU removed,,,, 
2016-14-10T02:15:42Z,12:12:38,cd70a9bfd45333731f554b4b619da30a1cf03d13,lklementz23,133.5.147.233,b8bc:b826:3859:11c6:3a46:64f6:fd32:1a87,,,Otcom,Windows Server 2012,Domainer,User accountExpires changed,,,, 
2016-13-17T03:37:21Z,14:00:37,3b7fd0aa09c50fe76550d4e392a9b614619c61d4,gdeery24,229.26.112.211,201e:a64:7040:fb5d:7b6b:93b9:f081:3ca1,,,Toughjoyfax,Windows Server 2008,Overhold,Subordinate OU renamed,,,, 
2016-14-18T04:14:58Z,21:28:25,0243af6eb4e1cd23cd3dabe30288302fa3a65fd3,tdavitt25,120.246.67.40,ae52:c788:cc21:d08b:e1e0:7890:333a:a6cd,,,Daltfresh,Windows 7,Biodex,NETLOGON LdapSrvPriority parameter changed,,,, 
2016-13-11T12:59:27Z,15:50:46,854271a509f8e25f94c6a1a5e08bae6f0823f0f0,tawin26,59.144.10.26,d2b3:38c5:813a:e8ab:34dd:5cfc:840d:12ff,,,Treeflex,Windows Server 2008,Temp,User account re-enabled,,,, 
2017-07-16T15:48:30Z,14:28:06,192595be40b83a7c56c35839f2b7c1008e4cbc73,lmallia27,196.234.94.106,3a90:1971:3683:25f8:d131:25fe:ba3a:517d,,,Trippledex,Windows 10,Stim,Computer removed,,,, 
2016-10-17T12:41:03Z,22:47:36,4b2106f0f6731e3a37d731f2e6b81052f359657c,cealles28,234.169.57.89,c58b:927f:e50f:a8b8:5201:32ba:e331:2ad3,,,Latlux,Windows 10,Stim,Schema class default security descriptor changed,,,, 
2017-05-09T03:28:25Z,15:41:26,66b9b98ada14539033174710c232c3b301b330ec,mbraunton29,135.56.65.5,8ce3:6d35:ee08:49f2:f861:bedc:326d:fbcd,,,Cardguard,Windows 7,Wrapsafe,SYSVOL folder access rights changed,,,, 
2017-09-16T11:23:18Z,21:08:01,0869dc1ad3bfa1cad2d52c6648ddc5bdc0dc4f55,nmcardell2a,119.206.198.63,b77e:b5c0:54e8:fc51:8872:1446:a16e:61f3,,,Opela,Windows 8,Tresom,User userWorkstations added,,,, 
2017-06-14T22:01:59Z,20:53:50,e63aa4592f119efc4016e5179890967c61e66363,fbannell2b,154.198.65.67,509d:ce4:9eb:d052:449c:7f37:db98:fd8c,,,Zathin,Windows 8,Solarbreeze,NETLOGON GcSiteCoverage parameter changed,,,, 
2017-08-22T02:30:49Z,11:37:18,d729341d74819865033311c7401943b186a63e19,kworsfield2c,207.78.56.29,c9ef:8b81:516e:97e1:493a:9081:2034:5199,,,Hatity,Windows 10,Konklux,Domain controller renamed,,,, 
2017-09-20T07:26:18Z,02:58:28,53fa6d3078b626cca9efdea70d6a6b965f824313,ccaplin2d,235.13.179.157,af31:ddb5:8ac2:d776:7a54:c01c:9ec9:bbda,,,Matsoft,Windows 10,Keylex,Read-Only Domain controller renamed,,,, 
2016-11-01T14:04:49Z,06:47:17,95500a07bff90ae19f352f35bbe0d86607ca511d,icrystal2e,46.219.1.157,45f1:5f6c:b51c:5fd5:cb02:24fd:8f02:5adc,,,Greenlam,Windows Server 2012,Bitwolf,Schema attribute RODC Filtered flag changed,,,, 
2016-11-18T18:31:33Z,03:52:56,fac361f281d4b19501fb53923d9386c5cc924e86,gpiggin2f,96.234.67.155,1e57:8196:5caf:f53d:859e:e8dd:8574:424a,,,Stringtough,Windows 10,Alphazap,User userWorkstations added,,,, 
2017-09-03T12:56:03Z,09:49:52,5e1e588f4fa3d97247c8a2735c2767cff3298fe2,nwhittle2g,165.241.223.226,e3b7:a5a6:c205:e8e7:a43c:266f:d6f6:28d9,,,Treeflex,Windows 7,Fixflex,Service Added to Delegation List for user object,,,, 
2017-10-19T13:25:11Z,12:51:06,8e7735f2852397b05516ba48bab25aeafdc8f046,cbelvin2h,243.63.81.47,a0c7:f266:327d:a977:eb1b:55a5:50b5:a5bb,,,Zaam-Dox,Windows Server 2008,Rank,End a Disconnected Session changed for user object,,,, 
2016-12-13T04:06:27Z,20:38:24,ab1b8f917a74afecad3a0dba405e6f45974aac08,cudall2i,194.248.201.230,d8f1:9196:a333:63d5:119d:c588:3725:7a5b,,,Overhold,Windows Server 2012,Zamit,Delegation Authentication Protocol changed for user object,,,, 
2017-11-14T00:05:49Z,00:12:47,d9f4eefaae3e0fd3268570df6e8195e86455e317,kpeer2j,202.101.112.196,e2ea:8df1:f3ec:aba7:cd52:c9fe:a453:247d,,,Y-Solowarm,Windows 8,Namfix,NETLOGON LdapSrvWeight parameter changed,,,, 
2016-11-12T10:41:37Z,14:06:33,39771849c7fc9677c51985e7478a233aa9560c4e,khinrichsen2k,59.119.70.167,bfdd:a932:fa01:5f35:78f4:9c79:6806:e862,,,Asoka,Windows 10,Tin,Member removed from group,,,, 
2017-05-29T20:35:40Z,07:09:31,43f2da74152de7d736f168bf0162f859784b789f,ghuban2l,39.192.7.81,f70f:ae4f:99eb:83bd:3f19:f184:57:5f01,,,Flexidy,Windows 7,Fintone,Domain controller removed from OU,,,, 
2016-10-09T08:42:45Z,08:29:58,9a03eca596129a5de9b82a2b4b9dfc6205fc750d,rmontier2m,127.132.229.22,f844:9f8d:79fc:cfe2:18a9:97e9:52a4:b0a9,,,Zoolab,Windows Server 2008,Konklux,Schema attribute defaultHidingValue changed,,,, 
2017-06-11T15:03:32Z,23:26:14,5b90d5d243ad6fd07fed934d32d89a69161c7c3e,ccorbin2n,175.231.190.107,8a77:bf7c:b958:afb5:57ba:c21e:e5b2:e06c,,,Konklab,Windows 7,Rank,Class removed from possible superiors in schema,,,, 
2017-09-12T01:01:52Z,20:39:33,b18a0ba810ac4f72b93a62f499bedb9dbd2f7b52,mubsdale2o,199.236.231.90,7ba3:978e:78b2:af85:8861:a0a3:a0a2:7dc0,,,Quo Lux,Windows 7,Span,Schema version changed,,,, 
2017-06-16T13:54:02Z,13:05:29,e54b3cd929fbc992415fe899d124101799507fe0,gpratley2p,248.190.171.84,7eea:e52:db7:977f:461b:b9dd:4ba8:d29,,,Bytecard,Windows 8,Y-find,Alternate UPN suffix removed from OU,,,, 
2017-10-14T21:24:52Z,08:03:08,ff4d95efabf3a00a12ff7f8e41c8ef14a3b09cc6,cmcquin2q,148.100.124.158,936a:77a1:7a4f:b6aa:2e8a:4708:4100:b23a,,,Bitchip,Windows 7,Stringtough,OU group policy order changed,,,, 
2017-05-29T03:47:18Z,12:00:45,b2c8db97a2c522ffdb830cec8daf24417174a19f,bmills2r,232.106.20.184,15d4:7f36:e95b:c523:30c9:f69c:12c0:cb65,,,Tin,Windows Server 2008,Stronghold,Alternate UPN suffix removed from OU,,,, 
2017-05-02T02:28:31Z,23:56:59,c87e3e7b689d0a27317e0da0ea0b72220a670eba,greignard2s,38.95.72.109,31b8:c6b7:b1df:8fc5:523b:2300:a2ef:32c9,,,Wrapsafe,Windows 10,Treeflex,User account re-enabled,,,, 
2017-08-16T15:36:15Z,14:04:38,9402ffbff5ae6d98711ba30799dfa37dd7683794,hsnellman2t,95.187.47.51,ca76:c11:bf3d:7405:ddf8:4fd7:1ea1:39f9,,,Stim,Windows Server 2008,Regrant,Nested member removed from critical enterprise group,,,, 
2016-11-24T04:20:56Z,08:02:54,4f245ee1d729a52ac092560107dbabef200aac62,kmalyon2u,135.34.152.6,66da:1df7:eb96:3da1:a5db:aa59:d897:88f2,,,Treeflex,Windows Server 2012,Viva,Schema attribute Confidential flag changed,,,, 
2017-08-09T12:29:55Z,15:52:17,022caefc70f5ba597f82cdbc8c085cd15baa0e47,grammell2v,167.9.182.147,566a:d9ee:2aff:d4d0:aa82:201f:b2ec:d811,,,Cardify,Windows 10,Hatity,User Must Change Password At Next Logon option changed,,,, 
2017-08-29T07:31:45Z,00:49:25,2efd4339f8997601b1477185dfd5aa8be9c99ba6,aeggerton2w,71.188.37.224,49ec:8456:caf5:bfbc:3ad3:5352:9324:dc62,,,Alphazap,Windows Server 2012,Prodder,Schema class added,,,, 
